0x807110,Class Name,Class Description,Class Number,Default Promotion,Map Sprite# (standing),Walking Speed,Default Portrait,***UNKNOWN***,Base HP,Base STR,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Lance Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anima Level,Base Light Level,Base Dark Level,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain avoid bonus,Terrain defence bonus,Terrain resistance bonus,***UNKNOWN*** Pointer
None,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,42,5,37,0,0,65,0,0,0x2,0x0,0x0,0x1,0,0,0,0,0,0,0,0,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Sibyl,Sibyl_Name,Sibyl_Desc,0x1,0x3,0x0,0,0x8b,0x1,18,6,6,7,6,0,8,5,60,20,20,20,20,20,20,3,95,50,45,50,20,20,45,0,0,0,0,0,0,0x0,0x0,0x0,0x20,0,0,0,0,31,0,0,0,SibylAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Hobelar,Hobelar_Name,Hobelar_Desc,0x2,0x4,0x1,0,0x8b,0x1,18,6,6,7,6,0,8,7,60,20,20,20,20,20,20,3,95,50,45,50,20,25,45,0,0,0,0,0,0,0x3,0x24,0x0,0x0,1,1,0,0,0,0,0,0,ConallAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Theurge,Theurge_Name,Theurge_Desc,0x3,0x1,0x2,0,0x8b,0x2,18,3,3,4,5,0,10,7,60,27,26,24,23,23,25,3,95,50,45,50,20,20,45,4,2,3,2,2,5,0x3,0x5,0x0,0x20,0,71,0,0,0,0,0,0,0x88aeff0,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Dracolord,Dracolord_Name,Dracolord_Desc,0x4,0x2,0x3,0,0x8b,0x2,18,3,3,4,5,0,7,7,60,24,29,30,22,25,25,3,95,50,45,50,20,25,45,4,2,2,1,3,5,0x3,0x5,0x2,0x10,71,0,0,0,0,0,0,0,0x88aeffc,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Lnc. Cav,Lcav_Name,Lcav_Desc,0x5,0x7,0x4,0,0x80,0x20,20,5,2,5,4,1,9,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,0,0,0,0,0,0,0x3,0x4,0x0,0x0,0,31,0,0,0,0,0,0,CavalierMAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Lnc. Cav (F),Lcav_Name,Lcav_Desc,0x6,0x8,0x63,0,0x80,0x20,18,5,3,4,4,2,9,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,1,0,2,2,0,2,0x3,0x4,0x0,0x0,0,31,0,0,0,0,0,0,CavalierFAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Gold Knight,GoldKnight_Name,GoldKnight_Desc,0x7,0x5,0x5,0,0x81,0x21,23,7,4,7,8,3,11,8,60,25,26,24,25,25,25,3,75,30,35,23,17,25,30,2,1,1,1,2,1,0x3,0x5,0x0,0x0,31,0,31,0,0,0,0,0,GoldKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Silver Knight,SilverKnight_Name,SilverKnight_Desc,0x8,0x6,0x62,0,0x81,0x21,23,6,6,11,7,6,9,8,60,23,27,25,24,26,25,3,75,30,40,30,17,30,30,1,1,1,2,1,2,0x3,0x5,0x0,0x0,0,31,0,31,0,0,0,0,0x88af038,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Lance Knight,Lknight_Name,Lknight_Desc,0x9,0xb,0x6,1,0x76,0xc,17,5,2,0,9,0,13,5,60,20,20,20,20,20,20,3,85,45,35,20,33,25,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,31,0,0,0,0,0,0,KnightAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Lance Knight (F),Lknight_Name,Lknight_Desc,0xa,0xc,0x6,1,0x76,0xc,16,4,3,1,8,1,10,5,60,20,20,20,20,20,20,3,85,45,35,20,33,25,30,2,1,1,1,2,0,0x0,0x0,0x0,0x0,0,31,0,0,0,0,0,0,KnightAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
General,0x2c4,General_Desc,0xb,0x9,0x7,1,0x77,0xd,24,8,4,3,13,3,15,6,60,29,27,24,30,25,25,3,80,35,25,15,28,30,25,4,2,2,3,2,3,0x0,0x1,0x0,0x0,1,71,1,0,0,0,0,0,0x88af060,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
General (F),0x2c4,General_Desc,0xc,0xa,0x7,1,0x77,0xd,23,8,5,5,11,4,11,6,60,27,28,25,29,26,25,3,80,35,30,15,28,30,25,3,2,3,2,3,3,0x0,0x1,0x0,0x0,1,71,1,0,0,0,0,0,0x88af080,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Thief,0x2c5,0x311,0xd,0x17,0x8,0,0x8e,0x7,16,3,1,9,2,0,6,6,60,20,20,20,20,20,20,2,55,10,50,45,10,25,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,1,0,0,0,0,0,0,0,0x88af0a0,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Manakete,0x2d7,0x323,0xe,0x1f,0x9,0,0x8f,0x1f,12,0,0,2,2,2,5,8,60,20,20,20,20,20,20,2,100,45,35,25,5,15,30,0,0,0,0,0,0,0x0,0x0,0x4,0x0,0,0,0,0,0,0,0,0,0x88af0ac,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mercenary,0x2c6,0x312,0xf,0x11,0xa,0,0x90,0x3,18,4,8,8,4,0,9,5,60,20,20,20,20,20,20,3,85,45,30,30,23,25,35,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Vagabond,Vagabond_Name,Vagabond_Desc,0x10,0x12,0xb,0,0x90,0x3,16,3,5,6,2,0,8,5,60,20,20,20,20,20,20,3,85,45,30,30,23,35,35,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0c4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero,0x2c7,0x313,0x11,0xf,0xc,0,0x91,0x4,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,80,35,35,25,25,25,30,4,1,2,2,2,2,0x0,0x1,0x0,0x0,71,0,31,0,0,0,0,0,0x88af0d0,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero (F),0x2c5,0x311,0x12,0x10,0xd,0,0x91,0x4,22,6,10,11,6,3,9,6,60,24,30,26,24,24,25,3,80,35,35,25,25,25,30,0,0,0,0,0,0,0x0,0x1,0x0,0x0,71,0,31,0,0,0,0,0,0x88af0ec,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Myrmidon,0x2c8,0x314,0x13,0x15,0xe,0,0x72,0x5,16,4,9,9,2,0,8,5,60,20,20,20,20,20,20,3,75,40,45,45,20,25,35,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af108,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Myrmidon (F),0x2c8,0x314,0x14,0x16,0xf,0,0x72,0x5,15,3,9,10,1,1,5,5,60,20,20,20,20,20,20,3,75,40,45,45,20,25,35,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af114,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster,0x2c9,0x315,0x15,0x13,0x10,0,0x73,0x6,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,3,70,30,35,35,20,27,30,5,2,0,0,2,1,0x40,0x1,0x2,0x0,71,0,0,0,0,0,0,0,0x88af120,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster (F),0x2c9,0x315,0x16,0x14,0x11,0,0x73,0x6,19,6,11,12,4,3,7,6,60,22,29,30,22,25,20,3,70,30,35,35,20,27,30,4,2,1,0,2,1,0x40,0x1,0x2,0x0,71,0,0,0,0,0,0,0,0x88af12c,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Assassin,0x2ca,Assassin_Desc,0x17,0xd,0x12,0,0x8e,0x8,16,3,1,9,2,0,8,6,60,20,30,30,20,20,20,3,55,10,50,45,10,25,45,3,1,0,0,2,2,0x8,0x1,0x2,0x2,31,0,0,0,0,0,0,0,AssassinMAnim|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Assassin (F),0x2ca,Assassin_Desc,0x18,0xd,0x13,0,0x8e,0x8,16,3,1,9,2,0,6,6,60,20,30,30,20,20,20,3,55,10,50,45,10,25,45,2,1,1,1,2,1,0x8,0x1,0x2,0x2,31,0,0,0,0,0,0,0,AssassinFAnim|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer,0x2cb,0x317,0x19,0x1b,0x14,0,0x78,0xa,18,4,3,3,3,0,7,5,60,20,20,20,20,20,20,3,75,40,45,37,20,20,40,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af150,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer (F),0x2cb,0x317,0x1a,0x1c,0x15,0,0x78,0xa,17,3,3,4,3,0,5,5,60,20,20,20,20,20,20,3,75,40,45,37,20,25,40,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af168,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper,0x2cc,Sniper_Desc,0x1b,0x19,0x16,0,0x79,0xb,21,7,6,5,5,2,8,6,60,25,30,28,25,23,20,3,70,35,35,25,20,25,35,3,1,2,2,2,3,0x80,0x1,0x0,0x0,0,0,0,71,0,0,0,0,0x88af180,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper (F),0x2cc,Sniper_Desc,0x1c,0x1a,0x17,0,0x79,0xb,19,6,6,7,5,3,6,6,60,24,30,29,24,24,20,3,70,35,35,25,20,30,35,4,3,1,1,2,2,0x80,0x1,0x0,0x0,0,0,0,71,0,0,0,0,0x88af198,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Ranger,0x2cd,0x319,0x1d,0x19,0x18,0,0x97,0xc,21,7,6,7,6,3,9,7,60,25,28,30,24,23,25,3,65,30,35,40,20,20,30,3,2,1,1,3,3,0x3,0x5,0x0,0x0,31,0,0,31,0,0,0,0,0x88af1b0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Ranger (F),0x2cd,0x319,0x1e,0x1a,0x18,0,0x97,0xc,21,6,6,7,5,4,8,7,60,23,28,30,22,25,25,3,65,30,35,40,20,25,30,2,2,2,1,3,3,0x3,0x5,0x0,0x0,31,0,0,31,0,0,0,0,0x88af1c0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Wyvern Rider,0x2ce,Wrider_Desc,0x1f,0x21,0x19,0,0x88,0xd,20,7,3,5,8,0,10,7,60,20,20,20,20,20,25,3,85,50,40,35,30,20,30,0,0,0,0,0,0,0x3,0x8,0x0,0x0,0,0,31,0,0,0,0,0,WyvernRiderAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Rider (F),0x2ce,Wrider_Desc,0x20,0x22,0x19,0,0x88,0xd,19,6,5,5,7,0,9,7,60,20,20,20,20,20,25,3,85,50,40,35,30,22,30,0,0,0,0,0,0,0x3,0x8,0x0,0x0,0,0,31,0,0,0,0,0,WyvernRiderAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Lord,0x2cf,WyvernLord_Desc,0x21,0x1f,0x1b,0,0x89,0xe,25,9,5,7,10,1,11,8,60,27,25,23,28,22,25,3,80,45,35,25,25,22,25,4,2,2,0,2,0,0x3,0x9,0x40,0x0,31,71,0,0,0,0,0,0,WyvernLordAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Lord (F),0x2cf,WyvernLord_Desc,0x22,0x20,0x1b,0,0x89,0xe,24,8,7,7,9,2,10,8,60,25,26,24,27,23,25,3,80,45,35,25,25,22,25,0,0,0,0,0,0,0x3,0x9,0x40,0x0,31,71,0,0,0,0,0,0,WyvernLordAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Knight,0x2d0,WyvernKnight_Desc,0x23,0x1f,0x1d,0,0x93,0xf,20,7,7,8,7,1,10,8,60,25,26,28,24,22,25,3,70,40,35,35,20,22,30,3,1,2,3,0,1,0x3,0x9,0x0,0x0,0,71,0,0,0,0,0,0,WyvernKnightAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Knight (F),0x2d0,WyvernKnight_Desc,0x24,0x20,0x1d,0,0x93,0xf,19,6,8,9,6,2,9,8,60,24,27,29,23,23,25,3,70,40,35,35,20,25,30,3,2,1,2,1,1,0x3,0x9,0x0,0x0,0,71,0,0,0,0,0,0,WyvernKnightAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mage,Diabolist_Name,Diabolist_Desc,0x25,0x27,0x1e,0,0x7c,0x12,16,1,3,4,2,2,7,5,60,20,20,20,20,20,20,3,60,30,50,40,15,20,25,1,0,1,2,1,2,0xc,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af220,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage (F),Diabolist_Name,Diabolist_Desc,0x26,0x28,0x1f,0,0x7c,0x12,16,1,3,3,1,3,4,5,60,20,20,20,20,20,20,3,60,30,45,40,15,25,25,0,0,0,0,0,0,0xc,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af234,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage,0x2d2,0x31e,0x27,0x25,0x20,0,0x7d,0x13,20,4,4,4,5,5,7,6,60,28,30,26,21,25,20,3,50,25,35,30,15,45,20,4,1,0,0,3,3,0x0,0x1,0x0,0x0,0,0,0,0,31,71,31,0,0x88af248,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage (F),0x2d2,0x31e,0x28,0x26,0x21,0,0x7d,0x13,19,3,6,5,3,6,4,6,60,30,28,26,21,25,20,3,50,25,35,30,15,45,20,3,1,1,0,3,3,0x0,0x1,0x0,0x0,0,0,0,0,31,71,31,0,0x88af260,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage Knight,0x2d3,MageKnight_Desc,0x29,0x25,0x22,0,0x95,0x14,20,3,3,5,5,5,8,7,60,24,26,25,24,25,25,3,50,45,35,45,15,45,35,4,2,0,0,2,2,0x3,0x5,0x0,0x0,0,0,0,0,31,71,0,0,0x88af278,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage Knight (F),0x2d3,MageKnight_Desc,0x2a,0x26,0x23,0,0x95,0x14,19,2,5,6,3,6,6,7,60,25,24,25,24,28,25,3,50,45,35,45,15,45,45,3,2,1,0,2,2,0x3,0x5,0x0,0x0,0,0,0,0,31,71,0,0,0x88af290,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Bishop,0x2d4,Bishop_Desc,0x2b,0x45,0x24,0,0x7b,0x18,21,3,4,4,3,8,7,6,60,25,26,24,22,30,20,3,50,20,30,27,13,45,45,3,2,1,0,3,2,0x0,0x1,0x0,0x0,0,0,0,0,71,0,31,0,0x88af2a8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x880c6c2
Bishop (F),0x2d4,Bishop_Desc,0x2c,0x4a,0x25,0,0x7b,0x18,19,3,5,4,2,9,5,6,60,25,25,26,21,30,20,3,50,20,30,27,13,55,45,3,1,2,1,2,2,0x0,0x1,0x0,0x0,0,0,0,0,71,0,31,0,0x88af2c0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x880c6c2
Shaman,Mystic_Name,Mystic_Desc,0x2d,0x2f,0x26,1,0x7e,0x1b,16,0,1,2,4,2,7,5,60,20,20,20,20,20,20,3,55,27,37,35,35,15,25,1,2,0,1,1,2,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2d8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman (F),Mystic_Name,Mystic_Desc,0x2e,0x30,0x69,1,0x7e,0x1b,15,1,1,1,5,1,3,5,60,20,20,20,20,20,20,3,55,25,37,35,40,15,25,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2ec,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid,0x2e2,0x32d,0x2f,0x2d,0x27,1,0x7f,0x1c,19,3,3,4,4,6,8,6,60,29,26,26,21,28,20,3,50,30,35,30,15,40,25,4,0,0,3,2,2,0x0,0x1,0x0,0x0,0,0,0,0,1,31,0,71,0x88af300,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid (F),0x2e2,0x32d,0x30,0x2e,0x6a,1,0x7f,0x1c,17,4,3,4,3,7,4,6,60,29,26,26,20,29,20,3,50,30,35,30,15,40,25,0,0,0,0,0,0,0x0,0x1,0x0,0x0,0,0,0,0,1,31,0,71,0x88af318,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner,0x2e3,Summoner_Desc,0x31,0x2d,0x28,0,0x7f,0x1d,18,3,3,4,3,5,8,6,60,27,27,26,20,28,20,3,50,40,35,30,13,40,25,3,0,1,3,1,3,0x0,0x1,0x0,0x8,0,0,0,0,1,0,0,71,0x88af330,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner (F),0x2e3,Summoner_Desc,0x32,0x2e,0x28,0,0x7f,0x1d,18,3,3,4,3,5,4,6,60,27,27,26,20,28,20,3,50,40,35,30,13,40,25,0,0,0,0,0,0,0x0,0x1,0x0,0x8,0,0,0,0,1,0,0,71,0x88af348,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Rogue,Trickster_Name,Trickster_Desc,0x33,0xd,0x29,0,0x94,0x9,16,3,1,9,2,0,7,6,60,20,30,30,20,20,20,3,55,15,50,40,10,25,45,2,1,1,0,2,2,0xc,0x1,0x0,0x0,1,0,0,0,0,0,0,0,0x88af360,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Gorgon Egg,0x300,0x34c,0x34,0x0,0x2a,0,0xa6,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,30,3,105,5,5,5,5,5,5,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
Great Knight,0x2e0,0x32b,0x35,0x9,0x2b,1,0x96,0x22,22,8,4,6,11,3,13,7,60,28,24,24,29,25,25,3,75,35,25,20,26,25,25,3,2,1,2,2,1,0x3,0x5,0x0,0x0,1,31,31,0,0,0,0,0,0x88af36c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Great Knight (F),0x2e0,0x32b,0x36,0xa,0x2b,1,0x96,0x22,21,6,6,7,9,3,10,7,60,26,26,25,28,26,25,3,75,35,30,25,26,27,25,3,1,1,2,2,2,0x3,0x5,0x0,0x0,1,31,31,0,0,0,0,0,0x88af38c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Swd. Cav,Scav_Name,Scav_Desc,0x37,0x3a,0x2c,0,0x80,0x20,19,5,2,6,4,0,9,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,0,0,0,0,0,0,0x3,0x4,0x0,0x0,31,0,0,0,0,0,0,0,CavalierMAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Swd. Cav (F),Scav_Name,Scav_Desc,0x38,0x7e,0x66,0,0x80,0x20,17,5,4,5,4,1,9,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,0,0,0,0,0,0,0x3,0x4,0x0,0x0,31,0,0,0,0,0,0,0,CavalierFAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Axe Cav,Acav_Name,Acav_Desc,0x39,0x7f,0x2d,0,0x80,0x20,20,6,1,4,4,0,11,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,0,0,0,0,0,0,0x3,0x4,0x0,0x0,0,0,31,0,0,0,0,0,CavalierMAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Bow Cav,Bcav_Name,Bcav_Desc,0x3a,0x37,0x2e,0,0x80,0x20,17,5,3,3,3,0,9,7,60,20,20,20,20,20,25,3,80,40,45,33,20,20,35,0,0,0,0,0,0,0x3,0x4,0x0,0x0,0,0,0,31,0,0,0,0,BowCavalierAnim|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Soldier (F),0x2ed,Soldier_Desc,0x3b,0x1f,0x2f,0,0x8a,0x0,20,2,1,1,0,1,4,5,60,20,20,20,20,20,20,3,85,55,35,25,17,20,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,1,0,0,0,0,0,0,SoldierFAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
